TransactionID,UserID,TransactionAmount,Timestamp
TX1,U52,315.27,2022-01-18
TX2,U93,512.58,2022-01-22
TX3,U15,940.75,2022-07-03
TX4,U72,48.73,2022-05-25
TX5,U61,352.88,2022-02-07
TX6,U21,856.72,2022-10-08
TX7,U83,396.66,2022-10-15
TX8,U87,199.96,2022-05-23
TX9,U75,425.37,2022-01-13
TX10,U75,386.17,2022-07-05
TX11,U88,915.5,2022-09-24
TX12,U100,762.17,2022-09-26
TX13,U24,505.61,2022-04-07
TX14,U3,988.38,2022-12-23
TX15,U22,465.81,2022-10-21
TX16,U53,59.18,2022-01-01
TX17,U2,263.01,2022-10-22
TX18,U88,436.63,2022-01-27
TX19,U30,157.75,2022-02-05
TX20,U38,947.62,2022-06-09
TX21,U2,767.08,2022-01-31
TX22,U64,269.02,2022-05-07
TX23,U60,591.21,2022-09-19
TX24,U21,721.73,2022-12-11
TX25,U33,941.34,2022-07-29
TX26,U76,881.75,2022-05-30
TX27,U58,515.68,2022-01-31
TX28,U22,774.88,2022-04-10
TX29,U89,562.58,2022-11-25
TX30,U49,553.15,2022-10-29
TX31,U91,115.63,2022-12-19
TX32,U59,127.01,2022-08-07
TX33,U42,530.0,2022-09-10
TX34,U92,269.59,2022-06-20
TX35,U60,22.02,2022-09-14
TX36,U80,723.12,2022-02-26
TX37,U15,33.45,2022-01-09
TX38,U62,595.68,2022-01-05
TX39,U62,539.65,2022-12-01
TX40,U47,968.85,2022-04-24
TX41,U62,484.73,2022-09-22
TX42,U51,64.54,2022-06-22
TX43,U55,552.14,2022-08-08
TX44,U64,841.26,2022-07-24
TX45,U3,996.85,2022-01-24
TX46,U51,430.91,2022-06-19
TX47,U7,320.98,2022-04-13
TX48,U21,906.75,2022-03-01
TX49,U73,192.05,2022-03-27
TX50,U39,615.81,2022-09-12
TX51,U18,406.31,2022-06-14
TX52,U4,42.04,2022-06-16
TX53,U89,347.94,2022-03-25
TX54,U60,265.96,2022-07-21
TX55,U14,686.41,2022-03-31
TX56,U9,948.84,2022-03-30
TX57,U90,268.78,2022-04-30
TX58,U53,811.65,2022-06-05
TX59,U2,56.3,2022-07-07
TX60,U84,538.58,2022-07-07
TX61,U92,71.48,2022-09-19
TX62,U60,934.1,2022-02-21
TX63,U71,766.58,2022-05-20
TX64,U44,658.29,2022-01-19
TX65,U8,824.07,2022-03-16
TX66,U47,647.87,2022-08-18
TX67,U35,968.98,2022-05-10
TX68,U78,714.24,2022-02-24
TX69,U81,924.73,2022-09-28
TX70,U36,517.61,2022-04-10
TX71,U50,117.95,2022-03-10
TX72,U4,528.65,2022-10-26
TX73,U2,127.75,2022-01-17
TX74,U6,592.9,2022-12-20
TX75,U54,483.01,2022-04-26
TX76,U4,622.95,2022-06-01
TX77,U54,11.04,2022-11-26
TX78,U93,195.65,2022-04-26
TX79,U63,491.84,2022-01-30
TX80,U18,950.55,2022-11-19
TX81,U90,384.23,2022-02-20
TX82,U44,424.95,2022-03-01
TX83,U34,714.98,2022-08-17
TX84,U74,604.19,2022-09-16
TX85,U62,299.63,2022-12-26
TX86,U100,411.41,2022-01-05
TX87,U14,218.48,2022-01-28
TX88,U95,966.06,2022-09-11
TX89,U48,131.5,2022-12-30
TX90,U15,372.46,2022-08-19
TX91,U72,26.81,2022-12-23
TX92,U78,222.56,2022-07-19
TX93,U87,780.69,2022-11-28
TX94,U62,201.97,2022-09-28
TX95,U40,80.98,2022-12-05
TX96,U85,474.98,2022-10-31
TX97,U80,10.96,2022-02-15
TX98,U82,85.68,2022-01-28
TX99,U53,807.82,2022-01-07
TX100,U24,771.7,2022-08-20
TX101,U26,915.22,2022-07-18
TX102,U89,854.66,2022-04-04
TX103,U60,683.49,2022-03-23
TX104,U41,53.28,2022-03-29
TX105,U29,783.07,2022-07-05
TX106,U15,845.67,2022-08-31
TX107,U45,799.28,2022-03-09
TX108,U65,508.97,2022-11-07
TX109,U89,233.67,2022-07-06
TX110,U71,845.48,2022-08-27
TX111,U9,727.44,2022-08-06
TX112,U88,980.78,2022-04-18
TX113,U1,156.54,2022-11-03
TX114,U8,226.44,2022-02-07
TX115,U88,212.59,2022-12-15
TX116,U63,792.75,2022-10-03
TX117,U11,187.72,2022-01-10
TX118,U81,67.59,2022-01-26
TX119,U8,998.56,2022-02-17
TX120,U35,25.79,2022-12-13
TX121,U35,835.41,2022-01-14
TX122,U33,366.0,2022-04-10
TX123,U5,841.77,2022-07-06
TX124,U41,555.07,2022-01-12
TX125,U28,901.73,2022-10-06
TX126,U7,926.27,2022-12-07
TX127,U73,10.09,2022-11-24
TX128,U72,76.34,2022-06-16
TX129,U12,251.11,2022-05-02
TX130,U34,669.65,2022-04-05
TX131,U33,888.38,2022-01-25
TX132,U48,460.48,2022-01-17
TX133,U23,607.37,2022-01-29
TX134,U62,189.31,2022-11-19
TX135,U88,805.16,2022-12-07
TX136,U37,967.36,2022-11-09
TX137,U99,269.33,2022-03-13
TX138,U44,495.33,2022-09-27
TX139,U86,87.03,2022-09-07
TX140,U91,559.58,2022-10-22
TX141,U35,503.28,2022-05-24
TX142,U65,145.29,2022-10-01
TX143,U99,442.62,2022-08-11
TX144,U47,334.77,2022-03-16
TX145,U78,522.31,2022-04-12
TX146,U3,586.07,2022-01-20
TX147,U1,9.49,2022-04-27
TX148,U5,761.24,2022-06-23
TX149,U90,713.3,2022-06-22
TX150,U14,366.92,2022-01-04
TX151,U27,53.88,2022-12-06
TX152,U9,755.18,2022-05-28
TX153,U79,955.22,2022-04-24
TX154,U15,240.91,2022-11-17
TX155,U90,324.2,2022-06-16
TX156,U42,184.63,2022-10-27
TX157,U77,577.36,2022-04-28
TX158,U51,155.69,2022-04-10
TX159,U63,356.84,2022-10-01
TX160,U96,697.32,2022-06-24
TX161,U52,560.56,2022-06-08
TX162,U96,387.08,2022-08-15
TX163,U4,420.83,2022-02-07
TX164,U94,562.55,2022-07-17
TX165,U23,6.86,2022-05-16
TX166,U15,79.43,2022-04-14
TX167,U43,881.38,2022-07-12
TX168,U29,78.8,2022-09-07
TX169,U36,707.1,2022-01-13
TX170,U13,920.12,2022-02-24
TX171,U32,271.41,2022-12-10
TX172,U71,371.12,2022-03-26
TX173,U59,569.35,2022-04-19
TX174,U86,881.83,2022-02-12
TX175,U28,941.96,2022-03-12
TX176,U66,739.82,2022-09-25
TX177,U42,87.53,2022-02-28
TX178,U45,669.49,2022-02-13
TX179,U62,410.89,2022-09-29
TX180,U57,471.23,2022-01-14
TX181,U6,50.1,2022-04-22
TX182,U28,191.87,2022-11-10
TX183,U28,790.72,2022-08-16
TX184,U44,454.5,2022-06-18
TX185,U84,302.36,2022-10-18
TX186,U30,384.64,2022-09-03
TX187,U62,854.55,2022-09-23
TX188,U75,749.25,2022-12-03
TX189,U92,273.04,2022-08-31
TX190,U89,118.38,2022-06-07
TX191,U62,252.75,2022-10-27
TX192,U97,920.84,2022-11-23
TX193,U1,582.01,2022-01-18
TX194,U27,533.95,2022-03-24
TX195,U62,596.8,2022-12-01
TX196,U77,366.66,2022-08-19
TX197,U3,807.3,2022-12-08
TX198,U70,523.76,2022-09-10
TX199,U72,117.63,2022-06-16
TX200,U27,129.94,2022-02-11
TX201,U9,537.32,2022-09-06
TX202,U62,936.63,2022-09-05
TX203,U37,309.04,2022-10-13
TX204,U97,869.67,2022-01-20
TX205,U51,764.33,2022-12-18
TX206,U44,248.56,2022-02-11
TX207,U24,37.3,2022-12-11
TX208,U79,102.75,2022-03-28
TX209,U59,728.77,2022-09-18
TX210,U32,200.47,2022-11-02
TX211,U96,371.9,2022-10-24
TX212,U88,502.2,2022-12-16
TX213,U52,725.74,2022-08-28
TX214,U62,114.12,2022-06-16
TX215,U58,406.96,2022-11-09
TX216,U52,485.59,2022-08-07
TX217,U12,541.29,2022-05-13
TX218,U39,818.54,2022-07-26
TX219,U2,172.51,2022-02-20
TX220,U3,808.02,2022-04-16
TX221,U56,693.19,2022-07-03
TX222,U81,556.31,2022-07-20
TX223,U59,699.83,2022-01-11
TX224,U2,412.61,2022-09-11
TX225,U2,139.26,2022-05-30
TX226,U92,666.1,2022-12-20
TX227,U54,525.15,2022-12-21
TX228,U87,639.74,2022-04-06
TX229,U96,338.66,2022-04-16
TX230,U97,906.96,2022-05-23
TX231,U1,587.78,2022-06-15
TX232,U19,86.32,2022-01-01
TX233,U2,450.35,2022-02-15
TX234,U53,756.6,2022-08-30
TX235,U44,794.34,2022-12-10
TX236,U90,495.1,2022-10-05
TX237,U32,894.85,2022-01-03
TX238,U70,268.4,2022-05-22
TX239,U32,411.19,2022-03-02
TX240,U68,898.7,2022-10-21
TX241,U55,896.36,2022-08-13
TX242,U75,686.03,2022-10-29
TX243,U56,859.12,2022-06-19
TX244,U17,89.68,2022-05-14
TX245,U38,865.13,2022-02-10
TX246,U24,321.3,2022-08-19
TX247,U69,179.15,2022-08-14
TX248,U98,240.13,2022-05-19
TX249,U70,418.55,2022-04-20
TX250,U86,251.94,2022-10-24
TX251,U11,321.25,2022-02-26
TX252,U16,135.84,2022-05-03
TX253,U97,296.88,2022-08-28
TX254,U73,572.71,2022-03-27
TX255,U59,442.41,2022-06-25
TX256,U70,347.37,2022-03-04
TX257,U80,746.71,2022-02-08
TX258,U93,893.62,2022-05-18
TX259,U3,757.03,2022-08-29
TX260,U20,332.67,2022-08-14
TX261,U59,744.7,2022-07-25
TX262,U36,152.83,2022-06-13
TX263,U19,131.19,2022-01-27
TX264,U90,346.28,2022-07-02
TX265,U67,807.89,2022-07-17
TX266,U19,247.1,2022-12-03
TX267,U20,64.19,2022-04-17
TX268,U96,132.58,2022-07-08
TX269,U71,858.89,2022-02-05
TX270,U52,634.15,2022-03-26
TX271,U33,253.95,2022-06-04
TX272,U40,555.74,2022-06-18
TX273,U39,528.05,2022-10-11
TX274,U82,655.78,2022-09-29
TX275,U1,233.95,2022-02-04
TX276,U11,864.54,2022-07-03
TX277,U92,310.06,2022-04-09
TX278,U57,694.44,2022-08-25
TX279,U89,17.11,2022-05-02
TX280,U50,373.28,2022-01-23
TX281,U23,352.36,2022-03-04
TX282,U31,543.94,2022-11-22
TX283,U94,73.66,2022-05-30
TX284,U42,790.34,2022-07-14
TX285,U99,218.56,2022-03-21
TX286,U7,677.36,2022-11-11
TX287,U16,803.41,2022-06-02
TX288,U90,562.32,2022-01-17
TX289,U60,741.14,2022-02-08
TX290,U2,662.2,2022-11-29
TX291,U1,356.17,2022-12-14
TX292,U48,809.05,2022-07-21
TX293,U12,295.41,2022-10-07
TX294,U69,571.64,2022-03-29
TX295,U37,745.65,2022-10-27
TX296,U32,379.58,2022-10-19
TX297,U9,303.46,2022-12-21
TX298,U99,459.89,2022-03-11
TX299,U19,818.15,2022-05-04
TX300,U48,929.99,2022-03-21
TX301,U80,545.54,2022-02-14
TX302,U3,661.8,2022-08-21
TX303,U20,903.37,2022-06-03
TX304,U24,99.45,2022-06-29
TX305,U54,232.85,2022-01-31
TX306,U33,709.19,2022-03-26
TX307,U24,823.92,2022-02-14
TX308,U75,857.17,2022-11-19
TX309,U72,415.69,2022-11-28
TX310,U36,90.25,2022-08-31
TX311,U38,438.34,2022-02-09
TX312,U84,231.5,2022-07-01
TX313,U99,291.91,2022-10-24
TX314,U89,772.5,2022-03-22
